city,temperature,humidity,description,time
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:04:29.608188
Ho Chi Minh,31.71,70,Scattered clouds,2025-06-01 10:04:29.742656
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:04:29.867699
Haiphong,33.95,59,Clear sky,2025-06-01 10:04:30.020527
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:04:30.175649
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:04:29.608188
Ho Chi Minh,31.71,70,Scattered clouds,2025-06-01 10:04:29.742656
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:04:29.867699
Haiphong,33.95,59,Clear sky,2025-06-01 10:04:30.020527
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:04:30.175649
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:04:29.608188
Ho Chi Minh,31.71,70,Scattered clouds,2025-06-01 10:04:29.742656
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:04:29.867699
Haiphong,33.95,59,Clear sky,2025-06-01 10:04:30.020527
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:04:30.175649
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:04:29.608188
Ho Chi Minh,31.71,70,Scattered clouds,2025-06-01 10:04:29.742656
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:04:29.867699
Haiphong,33.95,59,Clear sky,2025-06-01 10:04:30.020527
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:04:30.175649
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:04:29.608188
Ho Chi Minh,31.71,70,Scattered clouds,2025-06-01 10:04:29.742656
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:04:29.867699
Haiphong,33.95,59,Clear sky,2025-06-01 10:04:30.020527
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:04:30.175649
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:10:21.000000
Ho Chi Minh,31.71,71,Scattered clouds,2025-06-01 10:10:21.000000
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:10:21.000000
Haiphong,33.95,59,Clear sky,2025-06-01 10:10:21.000000
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:10:21.000000
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:12:59.931733
Ho Chi Minh,31.71,71,Scattered clouds,2025-06-01 10:13:00.047823
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:13:00.178933
Haiphong,33.95,59,Clear sky,2025-06-01 10:13:00.302012
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:13:00.436063
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:12:59.931733
Ho Chi Minh,31.71,71,Scattered clouds,2025-06-01 10:13:00.047823
Da Nang,33.99,52,Scattered clouds,2025-06-01 10:13:00.178933
Haiphong,33.95,59,Clear sky,2025-06-01 10:13:00.302012
Can Tho,31.99,70,Scattered clouds,2025-06-01 10:13:00.436063
Ha Noi,34.0,47,Overcast clouds,2025-06-01 10:28:37.977706
Ho Chi Minh,32.26,70,Scattered clouds,2025-06-01 10:28:38.123377
Da Nang,33.99,55,Few clouds,2025-06-01 10:28:38.255105
Haiphong,34.95,55,Clear sky,2025-06-01 10:28:38.406213
Can Tho,31.99,74,Broken clouds,2025-06-01 10:28:38.559923
